Sum of Current % of Portfolio,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,6.5644,5.8829,35.7709,0.1036,46.8601,1.5058,2.1441,1.0174,0.1509,,,,,100.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,6.5314,5.9331,36.6667,0.097,47.8566,,1.8195,0.933,0.1626,,,,,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,6.0589,5.5664,41.8007,0.1114,43.6553,,1.8115,0.841,0.1546,,,,,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,5.5061,5.2941,42.6836,0.1243,43.1741,,2.0204,1.0551,0.1423,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,4.217,4.9547,41.813,0.1307,45.4119,,2.381,0.9659,0.1257,,,,,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,3.5874,4.5801,39.675,0.1266,48.4171,,2.1647,1.3233,0.1258,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,3.3622,4.4079,37.428,2.6096,47.786,0.2533,2.5494,1.2649,0.0927,,0.2463,,,100.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,3.2356,3.9479,36.5789,2.6184,46.6471,3.1446,2.5604,0.946,0.0741,,0.2471,,,100.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,2.8852,4.516,35.5601,2.2362,47.3829,3.1783,2.5505,0.4491,0.072,,1.1696,,,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,2.725,4.0214,34.7172,2.5188,45.8466,3.0835,2.5296,0.4647,,,4.0931,,,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,2.6315,3.4774,32.9191,2.2664,42.8737,5.3948,2.5326,0.4678,,,7.4368,,,100.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,2.3696,3.4687,34.804,2.3321,41.1488,6.1904,2.2468,0.5059,,,6.9339,,,100.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,2.2124,3.4122,36.8452,2.211,39.6661,6.968,1.475,,,,7.2103,,,100.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,2.1839,3.1124,40.064,2.2482,35.0306,6.8446,1.4784,,,,8.4643,,,99.4264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,1.8704,3.2954,40.5619,2.0077,33.8771,6.9762,1.4054,,,,10.0058,,,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,1.7142,2.9229,36.3963,8.8708,30.4441,6.83,0.8232,,,,11.4198,,0.2187,99.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,1.4598,2.7933,35.6487,8.7992,33.8434,6.9506,0.6739,,,,9.6542,,0.1771,100.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,1.3531,2.4802,38.7792,7.9789,31.5005,4.3618,0.6871,,0.1944,,11.3783,0.9625,0.3238,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,1.5282,2.811,43.2825,6.8246,25.7101,5.2396,0.6641,,0.2878,,12.5923,0.7496,0.31,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,1.2665,2.443,39.2335,5.6555,31.81,5.3329,0.7391,,0.3092,,12.829,,0.3813,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,1.5065,2.4374,39.3474,4.7415,33.3082,4.9185,0.9997,,0.3261,,12.1155,,0.2991,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,1.3676,2.3522,39.7473,3.3743,34.2553,3.7928,1.2576,,0.3963,,13.2121,,0.2445,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,1.5631,2.9667,42.8704,3.4892,42.7993,3.7285,1.7259,,0.4299,,0.1807,,0.2462,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,1.5775,2.7636,42.918,3.1288,40.654,5.9035,1.7699,0.4326,0.4031,,0.1751,,0.274,100.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,1.4648,1.3697,45.5189,3.4961,40.7386,6.1278,0.3356,0.4334,0.3189,,0.1963,,,100.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,1.4947,0.5467,45.3304,3.8303,42.8689,5.3777,0.354,,,,0.1974,,,100.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,1.4401,0.5234,43.516,4.3423,43.2393,5.0179,0.3697,1.3558,,,0.1955,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,1.3224,0.522,42.8614,3.9251,37.7886,5.4103,0.4555,7.5304,,,0.1841,,,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,0.9847,0.7864,40.5519,3.1722,31.9975,4.3699,0.6656,17.3192,,,0.1528,,,100.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,1.0194,2.0579,38.3216,3.2056,32.6872,3.513,0.8518,18.1852,,,0.1581,,,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,0.9956,2.8119,34.8744,2.9374,35.7768,3.5595,0.7591,18.1321,,,0.1532,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,1.3415,3.4634,34.2787,3.6317,36.6416,2.4674,0.6098,17.538,,,0.0278,,,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,1.4171,3.9224,31.8274,3.9487,37.3483,1.7727,1.1633,18.5945,,,0.0056,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,1.6022,5.1052,29.6344,4.2532,38.2717,2.3703,1.4327,17.3243,,,0.0058,,,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,2.6967,4.3483,29.0438,4.5646,38.3495,2.4481,1.4484,17.0943,,,0.006,,,99.9997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,2.8046,4.903,26.4369,7.6408,40.1526,2.3081,1.5752,14.1733,,,0.0056,,,100.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,3.3706,5.0822,25.3298,7.9299,40.6976,2.2088,1.6691,13.7065,,,0.0059,,,100.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,3.3422,5.4994,24.0969,7.8237,42.6186,2.4324,1.9929,12.1881,,,0.006,,,100.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,3.5837,5.0953,23.3243,6.3283,44.1066,2.6724,1.9487,12.4396,,,0.0055,,0.4957,100.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,2.8172,4.5523,24.2045,5.7154,45.6452,2.7539,1.7994,11.8241,,,0.0057,,0.6823,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,3.1753,4.96,24.6078,5.1822,44.2966,2.8031,1.9364,12.3414,,,0.0054,,0.6917,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,3.6734,5.5553,25.1726,1.4382,46.5973,2.865,2.7585,11.2918,,,0.006,,0.6417,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,3.9864,5.7147,24.4618,1.2897,45.7226,3.1368,3.0816,11.9199,,,0.0054,,0.6809,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,3.9296,5.6822,22.5701,2.778,45.8935,3.0027,3.0857,11.8112,0.6038,,0.0053,,0.6381,100.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,3.6609,2.5618,36.986,4.3587,36.2346,2.3589,2.1097,9.2203,0.4614,,0.0046,,2.0429,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,3.8309,2.5482,37.3436,4.4234,36.268,2.1907,2.4042,8.4576,0.4714,,0.0043,,2.0577,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,4.3394,2.5429,37.8417,5.7623,33.4611,2.3506,1.753,10.4006,0.5297,,0.0049,,1.0137,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,4.193,2.4467,39.0233,5.3208,32.6273,2.4556,1.7266,10.6282,0.4771,,0.0049,,1.0963,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,4.6683,2.6052,37.0579,5.0772,32.8349,2.1243,1.7396,11.3561,0.512,,1.0022,,1.0229,100.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,4.5384,2.4516,30.99,4.7116,34.2321,1.8053,0.3118,13.6008,1.0004,,6.3178,,0.0403,100.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,4.5999,2.36,29.299,3.9489,32.5759,1.7537,0.2733,18.4256,1.0264,,5.7001,,0.0373,100.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,4.952,2.3211,28.7883,4.115,33.6641,1.6824,0.0814,16.6952,1.0479,0.2578,6.3588,,0.0365,100.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,4.5962,2.3837,24.8369,4.1603,41.4278,1.4225,0.0732,14.6546,0.978,0.2607,5.1698,,0.0363,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,4.1589,2.1294,23.3584,4.2678,42.6298,1.7551,0.0785,14.7946,1.1097,0.2536,5.4358,,0.0286,100.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,4.0511,2.0503,20.4535,2.3195,40.9198,1.8133,0.0157,21.2733,1.5443,0.2446,5.2866,,0.0279,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,3.9663,2.1549,19.9746,1.9939,40.4963,2.0027,,23.8424,0.376,0.2608,4.9049,,0.0265,99.9993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,3.6832,1.7898,16.9625,0.7871,42.5871,1.6918,,26.7529,0.3201,0.2341,5.1656,,0.0256,99.9998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,3.8247,2.4705,18.5125,0.7242,45.5183,1.4715,,21.9066,0.3104,0.288,4.952,,0.0215,100.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,3.7933,2.8975,15.283,0.4398,46.4856,1.4125,,24.2341,0.3066,0.3127,4.8086,,0.0263,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,3.9006,2.109,15.2266,0.4107,47.3721,1.2563,,24.2044,0.3471,0.297,4.8536,,0.0225,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr3,3.7923,2.072,14.996,0.5602,46.0393,1.1835,,25.9615,0.3408,0.3245,4.7082,,0.0216,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr4,3.6987,1.9173,14.2518,0.5363,43.5571,1.4697,,29.7417,0.3047,0.2865,4.2145,,0.0216,99.9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr1,4.1155,1.7667,15.7388,0.2595,37.1991,2.01,,35.5163,0.2368,0.1922,2.9493,,0.0158,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qtr2,4.0496,1.8705,15.0092,0.1599,32.0195,1.8579,,44.1837,0.5466,0.2872,0.0033,,0.0126,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,279.0355,277.324,2646.2241,216.8735,3132.787,202.4473,115.1634,677.969,27.3852,3.4997,202.5474,2.2606,14.8324,7798.3491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
